--------------------------------------------------------------------------------------------------------
|Block Number|		|  Start  Time|		|  End  Time  |				|Total  Time  |
----------------------------------------------------------------------------------------------------
|1		     |		|1599495922998|		|1599495923944|			    |	946      |
|2		     |		|1599495964104|		|1599495965285|			    |	1181      |
|3		     |		|1599496005282|		|1599496006155|			    |	873      |
|4		     |		|1599496045433|		|1599496046420|			    |	987      |
|5		     |		|1599496086354|		|1599496087214|			    |	860      |
|6		     |		|1599496128569|		|1599496129550|			    |	981      |
|7		     |		|1599496169717|		|1599496171013|			    |	1296      |
|8		     |		|1599496211806|		|1599496212857|			    |	1051      |
|9		     |		|1599496254084|		|1599496255052|			    |	968      |
|10		     |		|1599496295050|		|1599496295883|			    |	833      |
|11		     |		|1599496337022|		|1599496338073|			    |	1051      |
|12		     |		|1599496378860|		|1599496380207|			    |	1347      |
|13		     |		|1599496420010|		|1599496420971|			    |	961      |
|14		     |		|1599496461813|		|1599496463160|			    |	1347      |
|15		     |		|1599496504665|		|1599496506011|			    |	1346      |
|16		     |		|1599496545896|		|1599496547201|			    |	1305      |
|17		     |		|1599496587741|		|1599496588553|			    |	812      |
|18		     |		|1599496630159|		|1599496631947|			    |	1788      |
|19		     |		|1599496671350|		|1599496673540|			    |	2190      |
|20		     |		|1599496713559|		|1599496714925|			    |	1366      |
|21		     |		|1599496755369|		|1599496756557|			    |	1188      |
|22		     |		|1599496797218|		|1599496798338|			    |	1120      |
|23		     |		|1599496838285|		|1599496839535|			    |	1250      |
|24		     |		|1599496879255|		|1599496880368|			    |	1113      |
|25		     |		|1599496921126|		|1599496922364|			    |	1238      |
----------------------------------------------------------------------------------------------------
SUMMARY                                                                     29.398
