--------------------------------------------------------------------------------------------------------
|Block Number|		|  Start  Time|		|  End  Time  |				|Total  Time  |
----------------------------------------------------------------------------------------------------
|1		     |		|1599494627950|		|1599494629271|			    |	1321      |
|2		     |		|1599494658747|		|1599494659934|			    |	1187      |
|3		     |		|1599494688515|		|1599494689855|			    |	1340      |
|4		     |		|1599494719684|		|1599494720818|			    |	1134      |
|5		     |		|1599494752013|		|1599494754142|			    |	2129      |
|6		     |		|1599494785145|		|1599494786555|			    |	1410      |
|7		     |		|1599494816673|		|1599494817919|			    |	1246      |
|8		     |		|1599494848605|		|1599494849714|			    |	1109      |
|9		     |		|1599494880494|		|1599494881736|			    |	1242      |
|10		     |		|1599494912901|		|1599494914755|			    |	1854      |
|11		     |		|1599494945518|		|1599494946246|			    |	728      |
|12		     |		|1599494976808|		|1599494978107|			    |	1299      |
|13		     |		|1599495008189|		|1599495009268|			    |	1079      |
|14		     |		|1599495039563|		|1599495040667|			    |	1104      |
|15		     |		|1599495071625|		|1599495072980|			    |	1355      |
|16		     |		|1599495102618|		|1599495103741|			    |	1123      |
|17		     |		|1599495135062|		|1599495136120|			    |	1058      |
|18		     |		|1599495166654|		|1599495168050|			    |	1396      |
|19		     |		|1599495198569|		|1599495199547|			    |	978      |
|20		     |		|1599495230157|		|1599495231113|			    |	956      |
|21		     |		|1599495262122|		|1599495263102|			    |	980      |
|22		     |		|1599495292514|		|1599495294261|			    |	1747      |
|23		     |		|1599495323966|		|1599495324773|			    |	807      |
|24		     |		|1599495355601|		|1599495357287|			    |	1686      |
|25		     |		|1599495386659|		|1599495387889|			    |	1230      |
----------------------------------------------------------------------------------------------------
SUMMARY                                                                     31.498
