--------------------------------------------------------------------------------------------------------
|Block Number|		|  Start  Time|		|  End  Time  |				|Total  Time  |
----------------------------------------------------------------------------------------------------
|1		     |		|1599550313880|		|1599550315171|			    |	1291      |
|2		     |		|1599550364188|		|1599550365581|			    |	1393      |
|3		     |		|1599550414527|		|1599550415577|			    |	1050      |
|4		     |		|1599550464897|		|1599550466859|			    |	1962      |
|5		     |		|1599550514129|		|1599550515287|			    |	1158      |
|6		     |		|1599550565347|		|1599550566756|			    |	1409      |
|7		     |		|1599550616907|		|1599550617876|			    |	969      |
|8		     |		|1599550667984|		|1599550669289|			    |	1305      |
|9		     |		|1599550719438|		|1599550720429|			    |	991      |
|10		     |		|1599550770423|		|1599550772101|			    |	1678      |
|11		     |		|1599550822585|		|1599550824104|			    |	1519      |
|12		     |		|1599550874275|		|1599550875307|			    |	1032      |
|13		     |		|1599550925415|		|1599550926536|			    |	1121      |
|14		     |		|1599550975610|		|1599550976643|			    |	1033      |
|15		     |		|1599551025658|		|1599551027052|			    |	1394      |
|16		     |		|1599551077060|		|1599551078004|			    |	944      |
|17		     |		|1599551128189|		|1599551129373|			    |	1184      |
|18		     |		|1599551179295|		|1599551180495|			    |	1200      |
|19		     |		|1599551230566|		|1599551232138|			    |	1572      |
|20		     |		|1599551281947|		|1599551282757|			    |	810      |
|21		     |		|1599551332911|		|1599551333948|			    |	1037      |
|22		     |		|1599551384267|		|1599551385295|			    |	1028      |
|23		     |		|1599551435252|		|1599551436499|			    |	1247      |
|24		     |		|1599551486700|		|1599551487698|			    |	998      |
|25		     |		|1599551537250|		|1599551538281|			    |	1031      |
|26		     |		|1599551588382|		|1599551589454|			    |	1072      |
|27		     |		|1599551639811|		|1599551640997|			    |	1186      |
|28		     |		|1599551691013|		|1599551692022|			    |	1009      |
|29		     |		|1599551742134|		|1599551743597|			    |	1463      |
|30		     |		|1599551793526|		|1599551794587|			    |	1061      |
|31		     |		|1599551844325|		|1599551845347|			    |	1022      |
|32		     |		|1599551894257|		|1599551895250|			    |	993      |
|33		     |		|1599551945335|		|1599551946514|			    |	1179      |
|34		     |		|1599551996517|		|1599551997454|			    |	937      |
|35		     |		|1599552047694|		|1599552048767|			    |	1073      |
|36		     |		|1599552098811|		|1599552099857|			    |	1046      |
|37		     |		|1599552148899|		|1599552149722|			    |	823      |
|38		     |		|1599552199248|		|1599552200451|			    |	1203      |
|39		     |		|1599552250440|		|1599552251350|			    |	910      |
|40		     |		|1599552301366|		|1599552302222|			    |	856      |
|41		     |		|1599552352255|		|1599552353431|			    |	1176      |
|42		     |		|1599552402642|		|1599552403735|			    |	1093      |
|43		     |		|1599552453535|		|1599552454658|			    |	1123      |
|44		     |		|1599552503723|		|1599552504945|			    |	1222      |
|45		     |		|1599552553983|		|1599552554876|			    |	893      |
|46		     |		|1599552605233|		|1599552606409|			    |	1176      |
|47		     |		|1599552656399|		|1599552657299|			    |	900      |
|48		     |		|1599552707523|		|1599552708842|			    |	1319      |
|49		     |		|1599552757708|		|1599552758529|			    |	821      |
|50		     |		|1599552808997|		|1599552809565|			    |	568      |
|51		     |		|1599552859169|		|1599552860669|			    |	1500      |
|52		     |		|1599552910217|		|1599552911205|			    |	988      |
|53		     |		|1599552961048|		|1599552962295|			    |	1247      |
|54		     |		|1599553011074|		|1599553011996|			    |	922      |
|55		     |		|1599553062026|		|1599553062965|			    |	939      |
|56		     |		|1599553113078|		|1599553113768|			    |	690      |
|57		     |		|1599553163145|		|1599553164125|			    |	980      |
|58		     |		|1599553213258|		|1599553213980|			    |	722      |
|59		     |		|1599553264023|		|1599553264886|			    |	863      |
|60		     |		|1599553315174|		|1599553316078|			    |	904      |
----------------------------------------------------------------------------------------------------
SUMMARY                                                                     66.235
